Run ID,Timestamp,Detected Item Positions,Tray 2 Empty Holes,Shaking,Filling Complete
1,2024-11-06 13:18:47,"[16, 4, 6, 1, 11, 10]",10 holes need filling,No,No
1,2024-11-06 13:18:47,"[23, 1, 11, 9, 6, 2]",4 holes need filling,No,No
1,2024-11-06 13:18:47,"[9, 2, 13, 28, 18, 4]",0 holes need filling,No,Yes
2,2024-11-06 13:18:52,"[25, 9, 28, 27, 29, 13]",11 holes need filling,No,No
2,2024-11-06 13:18:52,"[7, 25, 17, 22, 4, 29]",5 holes need filling,No,No
2,2024-11-06 13:18:52,"[27, 28, 25, 21, 13, 24]",0 holes need filling,No,Yes
3,2024-11-06 13:27:56,"[25, 4, 12, 16, 28, 5]",11 holes need filling,No,No
3,2024-11-06 13:27:56,"[16, 5, 4, 28, 12, 25]",5 holes need filling,No,No
3,2024-11-06 13:27:56,"[12, 25, 5, 16, 28, 4]",0 holes need filling,No,Yes
4,2024-11-06 13:27:58,"[16, 4, 15, 24, 12, 6]",3 holes need filling,No,No
4,2024-11-06 13:27:58,"[15, 24, 16, 4, 6, 20]",0 holes need filling,No,Yes
5,2024-11-06 13:27:58,"[15, 27, 6, 22, 20, 10]",5 holes need filling,No,No
5,2024-11-06 13:27:58,"[29, 28, 1, 10, 2, 18]",0 holes need filling,No,Yes
6,2024-11-06 13:27:59,"[9, 14, 2, 6, 26, 24]",2 holes need filling,No,No
6,2024-11-06 13:27:59,"[2, 6, 28, 25, 1, 9]",0 holes need filling,No,Yes
7,2024-11-06 13:28:08,"[26, 2, 12, 13, 29, 11]",2 holes need filling,No,No
7,2024-11-06 13:28:08,"[17, 29, 6, 26, 11, 15]",0 holes need filling,No,Yes
8,2024-11-06 13:28:09,"[20, 5, 10, 4, 26, 19]",11 holes need filling,No,No
8,2024-11-06 13:28:09,"[12, 23, 24, 5, 27, 15]",5 holes need filling,No,No
8,2024-11-06 13:28:09,"[9, 22, 23, 15, 27, 10]",0 holes need filling,No,Yes
